episode,loss_ex
71600,37230272.0
71800,38890372.0
72000,49485864.0
72200,39605636.0
72400,35421336.0
72600,38442532.0
72800,39230892.0
73000,46447180.0
73200,49906728.0
73400,40680776.0
73600,44438472.0
73800,44625956.0
74000,43030880.0
74200,38155672.0
74400,44938520.0
74600,43061768.0
74800,48575496.0
75000,44528240.0
75200,50453156.0
75400,45310172.0
75600,43995848.0
75800,50885360.0
76000,48879440.0
76200,49954580.0
76400,47807100.0
76600,39735144.0
76800,44837680.0
77000,51251728.0
77200,51063700.0
77400,45571324.0
77600,52635568.0
77800,49788492.0
78000,48713652.0
78200,50107460.0
78400,58677872.0
78600,49589852.0
78800,46325312.0
79000,59582544.0
79200,52369136.0
79400,48048828.0
79600,53934116.0
79800,56402528.0
80000,51962716.0
80200,59348632.0
80400,55651484.0
80600,67788952.0
80800,57249476.0
81000,53571000.0
81200,61484420.0
81400,54274192.0
81600,49309688.0
81800,59742752.0
82000,64314904.0
82200,60969024.0
82400,55345968.0
82600,65391212.0
82800,61241456.0
83000,57121888.0
83200,67301728.0
83400,65776396.0
83600,59202028.0
83800,66652664.0
84000,66909080.0
84200,56640680.0
84400,63361956.0
84600,55438796.0
84800,52275564.0
85000,54132296.0
85200,59872504.0
85400,65101544.0
85600,62941120.0
85800,73680784.0
86000,70428944.0
86200,68761888.0
86400,68713720.0
86600,70845392.0
86800,65848796.0
87000,53716248.0
87200,73824568.0
87400,61906016.0
87600,57665280.0
87800,76933288.0
88000,70430088.0
88200,73875648.0
88400,67663856.0
88600,57983128.0
88800,57726308.0
89000,64430344.0
89200,66953488.0
89400,59709588.0
89600,64969264.0
89800,57856464.0
90000,61003520.0
90200,56369212.0
90400,57967308.0
90600,62201380.0
90800,53183024.0
91000,69001232.0
91200,70344344.0
91400,58097360.0
91600,77133736.0
91800,75504664.0
92000,60391396.0
92200,58479096.0
92400,63873812.0
92600,58863092.0
92800,53048088.0
93000,53190904.0
93200,60671776.0
93400,72135744.0
93600,63724072.0
93800,55967400.0
94000,56836808.0
94200,60081296.0
94400,68309072.0
94600,81795232.0
94800,69958856.0
95000,75405456.0
95200,76220968.0
95400,76818056.0
95600,79972472.0
95800,94572680.0
96000,89336272.0
96200,77732216.0
96400,96077512.0
96600,82143136.0
96800,101267296.0
97000,98239576.0
97200,94074960.0
97400,91122640.0
97600,103863752.0
97800,99696872.0
98000,128850696.0
98200,116723448.0
98400,107634096.0
98600,100330568.0
98800,114607032.0
99000,133157152.0
99200,106560632.0
99400,111967000.0
99600,121292824.0
99800,115553824.0
100000,145642368.0
