episode,loss_ex
200,0.7859946489334106
400,0.1931779533624649
600,0.2213037610054016
800,0.46168074011802673
1000,1.0949574708938599
1200,0.17762646079063416
1400,1.1728370189666748
1600,1.5911383628845215
1800,1.03013277053833
2000,0.5403533577919006
2200,4.339520454406738
2400,1.222951889038086
2600,9.408357620239258
2800,147.86349487304688
3000,312.5252685546875
3200,323.61407470703125
3400,817.860107421875
3600,1067.4970703125
3800,2234.033447265625
4000,3228.53466796875
4200,6884.5244140625
4400,9582.4013671875
4600,15060.6728515625
4800,22798.751953125
5000,38386.60546875
5200,70202.1484375
5400,73852.375
5600,92943.0859375
5800,108141.140625
6000,97280.9765625
6200,109941.34375
6400,135887.296875
6600,128707.296875
6800,187502.3125
7000,235005.9375
7200,254948.5625
7400,248185.671875
7600,398291.0625
7800,372437.15625
8000,548039.5
8200,769668.5
8400,725540.1875
8600,681904.8125
8800,868135.1875
9000,982465.25
9200,1192967.875
9400,994055.625
9600,1122371.75
9800,1286409.5
10000,1201928.5
10200,1224178.75
10400,1118386.75
10600,1190809.375
10800,1298257.5
11000,1353849.25
11200,1855039.0
11400,1932389.75
11600,2042008.0
11800,2151861.25
12000,2384794.75
12200,2256998.25
12400,2039583.375
12600,2078535.375
12800,2516604.0
13000,2355768.5
13200,2505361.0
13400,2320778.25
13600,2880724.0
13800,2460666.0
14000,3054648.25
14200,2856547.0
14400,2799930.5
14600,2402521.5
14800,2315048.5
15000,2501210.5
15200,2854999.0
15400,2359953.5
15600,3392029.25
15800,2558233.5
16000,3181230.25
16200,2907132.5
16400,3289542.5
16600,2453840.0
16800,3583726.5
17000,2743057.5
17200,3134534.5
17400,2602481.5
17600,3209568.0
17800,2875947.75
18000,3548693.25
18200,3705228.0
18400,3054970.75
18600,2810140.75
18800,3026117.5
19000,2834520.5
19200,2920848.5
19400,3352126.0
19600,3414988.0
19800,3344833.0
20000,2989173.5
20200,3286106.5
20400,2870518.25
20600,3097115.25
20800,2817957.5
21000,2987287.5
21200,3219275.5
21400,2888932.5
21600,2293518.0
21800,2712726.25
22000,2866034.5
22200,3021499.5
22400,2795252.5
22600,2830480.25
22800,3014530.0
23000,2382411.75
23200,3058368.0
23400,3624209.5
23600,2546278.75
23800,2717812.0
24000,3117423.5
24200,3298784.0
24400,2957052.5
24600,3114290.0
24800,3293759.25
25000,2737593.75
25200,3521753.75
25400,3927464.5
25600,3490673.25
25800,4157049.5
26000,4162434.25
26200,4279662.0
26400,3792874.75
26600,4508828.5
26800,4648914.5
27000,4598294.0
27200,6106829.0
27400,4907385.0
27600,4846837.5
27800,4215222.0
28000,5644556.5
28200,6008861.5
28400,5268062.0
28600,4608540.0
28800,5476238.0
29000,4919402.0
29200,5301231.0
29400,5094348.5
29600,6198584.5
29800,5253187.0
30000,6721070.0
30200,6248681.5
30400,6504664.0
30600,6441870.0
30800,7410480.5
31000,7760101.0
31200,6831437.0
31400,6584585.5
31600,7619065.5
31800,8595574.0
32000,7612133.5
32200,9163113.0
32400,7761908.5
32600,8185205.5
32800,8559730.0
33000,8351410.0
33200,9700909.0
33400,9426744.0
33600,8483468.0
33800,10369772.0
34000,9108409.0
34200,8761112.0
34400,8450214.0
34600,10236588.0
34800,8809447.0
35000,8869700.0
35200,9516283.0
35400,8515844.0
35600,9882190.0
35800,8920110.0
36000,8724028.0
36200,8856312.0
36400,9067155.0
36600,8369278.0
36800,8319409.0
37000,8786986.0
37200,7606354.0
37400,8954216.0
37600,9116063.0
37800,6928889.5
38000,6762245.5
38200,7714290.0
38400,7532674.0
38600,7849352.0
38800,6683605.5
39000,8181971.0
39200,7860409.0
39400,7304113.0
39600,6816469.0
39800,7943617.5
40000,7312174.5
40200,7461275.0
40400,6259739.5
40600,8342546.5
40800,7140254.0
41000,7147418.0
41200,8181432.0
41400,7886827.5
41600,7221553.5
41800,7631130.0
42000,7728082.0
42200,9555406.0
42400,7723767.5
42600,8539643.0
42800,9769104.0
43000,9090454.0
43200,8471654.0
43400,8699546.0
43600,9400596.0
43800,9066106.0
44000,7801334.5
44200,9173614.0
44400,8845958.0
44600,8744496.0
44800,7743180.5
45000,9945676.0
45200,8708746.0
45400,8356814.0
45600,7188605.0
45800,7420439.5
46000,8587638.0
46200,8622648.0
46400,8842659.0
46600,10041152.0
46800,8581233.0
47000,8361491.0
47200,9909471.0
47400,9964046.0
47600,10671185.0
47800,11192198.0
48000,11818277.0
48200,9080604.0
48400,10527468.0
48600,10136848.0
48800,10414172.0
49000,9576535.0
49200,9181703.0
49400,10089519.0
49600,10683816.0
49800,9535841.0
50000,8923136.0
50200,8518651.0
50400,9739830.0
50600,9954176.0
50800,9196055.0
51000,11231564.0
51200,9057891.0
51400,8881787.0
51600,9674308.0
51800,10127630.0
52000,10414806.0
52200,10451691.0
52400,9879827.0
52600,10949414.0
52800,10951794.0
53000,13271985.0
53200,12134236.0
53400,11312137.0
53600,12339449.0
53800,11002357.0
54000,11508325.0
54200,15450848.0
54400,13668830.0
54600,16119991.0
54800,15310304.0
55000,14604243.0
55200,13796318.0
55400,13784298.0
55600,15417145.0
55800,18796760.0
56000,13010910.0
56200,18656838.0
56400,15303194.0
56600,15807868.0
56800,16857772.0
57000,16540541.0
57200,16732622.0
57400,16356346.0
57600,18716988.0
57800,19087994.0
58000,19297176.0
58200,20119220.0
58400,16682852.0
58600,17199944.0
58800,18507824.0
59000,16012802.0
59200,19682602.0
59400,18346238.0
59600,20102368.0
59800,22115646.0
60000,22680998.0
60200,23014468.0
60400,20764464.0
60600,22757744.0
60800,24190794.0
61000,22762644.0
61200,21706386.0
61400,20481298.0
61600,24238152.0
61800,25890480.0
62000,26092814.0
62200,25042356.0
62400,28630776.0
62600,26057844.0
62800,20450294.0
63000,26077068.0
63200,23353476.0
63400,26960506.0
63600,25097580.0
63800,28637532.0
64000,27386124.0
64200,25342188.0
64400,23887156.0
64600,28020264.0
64800,27271196.0
65000,31851674.0
65200,22973568.0
65400,24097908.0
65600,36701076.0
65800,25659236.0
66000,33541214.0
66200,34331800.0
66400,26360568.0
66600,31584470.0
66800,25490890.0
67000,32701654.0
67200,27702044.0
67400,33562132.0
67600,28310868.0
67800,26559252.0
68000,34308976.0
68200,30921198.0
68400,28213752.0
68600,29574946.0
68800,38659276.0
69000,31438132.0
69200,28365202.0
69400,29406388.0
69600,38573016.0
69800,41539680.0
70000,40201784.0
70200,33070926.0
70400,31138136.0
70600,33888068.0
70800,34278752.0
71000,38430124.0
71200,36704296.0
71400,34462124.0
