episode,avg_return
0,0.0
500,6.7358065
1000,6.6823416
1500,9.055999
2000,5.070567
2500,7.340323
3000,6.553656
3500,8.232805
4000,8.99262
4500,9.61252
5000,5.7900915
5500,10.139948
6000,6.3093076
6500,6.6962814
7000,7.124555
7500,5.9067693
8000,5.515073
8500,6.0274343
9000,8.052172
9500,6.2627783
10000,6.150937
10500,9.279042
11000,3.183915
11500,5.9608736
12000,6.309012
12500,5.240151
13000,3.8091571
13500,8.846762
14000,5.5788665
14500,7.1717424
15000,8.383591
15500,9.20052
16000,9.111752
16500,7.2443275
17000,10.236789
17500,6.966689
18000,8.446474
18500,9.611134
19000,12.097604
19500,7.733719
20000,9.533762
20500,7.067369
21000,7.395335
21500,6.2860436
22000,8.800844
22500,5.6090384
23000,4.5308485
23500,8.411799
24000,10.235337
24500,7.210871
25000,5.5753455
25500,6.9258394
26000,8.508181
26500,8.6449
27000,10.9434185
27500,8.141706
28000,2.0530427
28500,6.995533
29000,9.3762045
29500,3.8779445
30000,9.9664135
30500,9.646988
31000,7.5424223
31500,3.5043464
32000,9.99753
32500,4.653359
33000,7.8025236
33500,13.401037
34000,5.4799905
34500,4.5682306
35000,8.554464
35500,6.040324
36000,5.112973
36500,7.4763412
37000,4.8566217
37500,9.384453
38000,7.3242745
38500,4.784515
39000,12.407082
39500,3.6620789
40000,4.7282257
40500,6.2122335
41000,4.46621
41500,6.063676
42000,5.991478
42500,8.338436
43000,8.422018
43500,6.0064073
44000,6.575217
44500,7.4201226
45000,9.295603
45500,5.159663
46000,5.716598
46500,9.603952
47000,6.598815
47500,1.6084702
48000,7.0025535
48500,4.8358693
49000,5.109728
49500,9.089595
50000,5.4601183
50500,5.637142
51000,6.806754
51500,7.0038667
52000,5.9002075
52500,7.3590097
53000,4.952222
53500,5.5490637
54000,9.435991
54500,10.427463
55000,5.9882536
55500,7.5724487
56000,7.2650614
56500,7.024504
57000,6.17463
57500,8.111284
58000,3.166881
58500,8.758105
59000,8.194417
59500,9.088571
60000,7.138284
60500,7.485241
61000,6.5610876
61500,8.523399
62000,5.5342684
62500,4.7500644
63000,6.4935594
63500,7.737539
64000,9.458818
64500,7.2474594
65000,4.8922014
65500,6.8254633
66000,4.975556
66500,5.477104
67000,5.996214
67500,11.803787
68000,5.1418624
68500,9.427616
69000,14.340526
69500,5.6251597
70000,6.242909
70500,6.7969637
71000,6.028253
71500,10.297523
72000,5.8017197
72500,11.511229
73000,3.9469116
73500,9.298895
74000,7.8400016
74500,6.607965
75000,5.8050356
75500,6.1767497
76000,7.740065
76500,5.653894
77000,6.647251
77500,7.7125425
78000,5.847825
78500,6.4373283
79000,6.6404915
79500,7.7133117
80000,3.117825
80500,6.966607
81000,4.0839353
81500,9.807201
82000,10.787429
82500,7.6639433
83000,6.755336
83500,7.493037
84000,5.3090854
84500,9.190219
85000,3.695493
85500,6.7408814
86000,6.270122
86500,9.233254
87000,2.8703697
87500,10.256362
88000,9.093313
88500,9.376764
89000,5.090477
89500,4.8418107
90000,6.828038
90500,9.798769
91000,4.529147
91500,5.720022
92000,9.542312
92500,5.0607033
93000,8.502344
93500,3.3353443
94000,6.308076
94500,7.4745684
95000,5.4352913
95500,4.62536
96000,8.904128
96500,4.85238
97000,11.464762
97500,5.0013304
98000,10.201575
98500,3.302534
99000,7.0204515
99500,8.58053
100000,9.332981
